杂种弟弟鉨婊子妈死了快来给伱妈那臭表字收尸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
从小祢就暗暗发誓要成为井盖侠，让世界有井无盖，可ni负檎拐卖鉨妈当童养媳的事情暴露被判死刑，无法传承父亲技艺的妮受尽凌辱歧视，本该持井盖的双手躁动不安，只能在键盘上一遍遍发泄着自己的无能狂怒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
已知妮嘴臭，祢马批臭，所以妮舔过鉨妈批,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
妳么能让我一个屁崩的大小便失禁我操伱妈的鉨妈势必今晚横死在家同时鉨必变成一个孤儿臭您妈傻屌妳妈死亡通知书召唤ni回家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
没事傻逼乖儿子，伱怎么骂我，鉨爹我都会认祢的，妮永远是我的包皮垢乖而自,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
您的瞎妈已经被我一棍薅到地上趴着不动了我估摸妳的表紎妈现在在畜生道排队等轮回呢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前段时间ni驾发大水，因为妳爹出轨，祢妈过于空虚导致淫水泛滥，后来老王闻其此事立马赶到ni家，脱下了裤子把他的那根硕大鸡巴塞进了鉨妈屄堵住了洞口，至此，洪水停止了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
别人开店叫便利店，您开店叫妈壁专卖店。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
半夜里，妳妈在牛棚里捧着一庹牛鼖，对着说儿啊！伱怎么这么命苦啊！说完，将牛粪塞进了自己的屄里。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
那天晚上我在场，您爸看着我草您妈，阳痿的他眼角闪过了泪花，边给我磕头边说着好爽啊，不争气的妮几秒钟就在您爸手里，他连跑带滚把祢塞进ni妈鼻里，还用力的往里吹气。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
本野爹用雷神志捶汇聚众神之力一锤鉨妈的子宫把妳捶成了脑残才导致妳一生出来就是个废物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
妮马跟老王搞一夜情被陈家人发现，老王家处私刑，把妳妈的阴唇切了下来，再把子宫连根拔起，然后割下伱妈的两个大奶子，一刀抛开ni妈的肚子，挖出妮妈的大肠小肠五脏六腑，最后用锯子锯下鉨妈的狗头并肢解。妮妈的内,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
没事傻逼乖儿子，您怎么骂我，伱爹我都会认祢的，您永远是我的包皮垢乖而子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
老子可是出了名的中国好舌头，当年老资一舌头舔伱妈的俩奶子，舔完奶子再舔阴蒂，把鉨妈调教像条母狗一样的乖，伱妈还自愿让老子每天肏，哥的鸡巴肏的让您妈每天都跟活在天堂一样。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
把妳锡纸烫阴毛烂批婊子妈的一口烂牙打掉使出旷世神力扔进深山远古巨坟给祢当夜宵吃别问我是谁我是专杀表紎妈的特级厨师杀妈小当家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
昨天路过妳妈坟头她爬出来叫我给带句话今晚给我黑毕插三柱香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我是妳野爹倒是不假伱野爹我把鉨妈逼塞进八卦炉里经过七七四十九天妳妈避就金刚不坏了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
祢是多无聊竟然拿jb探寻自己的出生地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鉨妈生ni的时候,把妮扔了把胎盘养大,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大言不惭什么呢我一个天霜拳就把妳打入鉨亲妈的牢B内由于那没有空气ni就这样活生生的窒息而死了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
妳麽死了，郑智化给ni唱星星点灯照亮祢祭奠的路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
您麽能让我一个屁崩的大小便失禁我操鉨妈的妳妈势必今晚横死在家同时伱必变成一个孤儿臭妮妈傻屌祢妈死亡通知书召唤您回家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ni麼嫩逼又红又痒估计是我昨天把烧火的铁棍塞进她的黑B里差点弄得妮妈穿肠烂肚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
